,4. close
1118,15.53
1119,15.73
1120,15.97
1121,16.12
1122,15.91
1123,15.98
1124,15.81
1125,15.61
1126,15.17
1127,14.59
1128,14.99
1129,15.0
1130,15.3
1131,15.03
1132,14.74
1133,13.99
1134,14.45
1135,14.8
1136,15.26
1137,15.43
1138,15.02
1139,14.34
1140,14.36
1141,15.2
1142,14.47
1143,14.92
1144,14.96
1145,14.99
1146,15.63
1147,17.86
1148,18.23
1149,17.5
1150,18.3
1151,17.32
1152,17.53
1153,18.01
1154,18.74
1155,17.55
1156,16.94
1157,17.06
1158,17.72
1159,17.06
1160,16.55
1161,17.14
1162,17.27
1163,16.85
1164,17.11
1165,17.12
1166,20.15
1167,20.54
1168,20.1
1169,19.54
1170,20.09
1171,20.46
1172,21.48
1173,21.4
1174,22.16
1175,22.72
1176,22.78
1177,22.91
1178,23.3
1179,24.2
1180,23.98
1181,23.98
1182,24.15
1183,25.18
1184,24.32
1185,23.46
1186,24.74
1187,25.01
1188,25.21
1189,25.28
1190,25.61
1191,23.94
1192,23.32
1193,24.19
1194,24.37
1195,22.47
1196,22.65
1197,23.51
1198,23.69
1199,23.98
1200,24.27
1201,23.96
1202,23.01
1203,24.12
1204,23.77
1205,24.25
1206,24.53
1207,24.98
1208,25.41
1209,26.11
1210,25.74
1211,25.0
1212,25.06
1213,24.86
1214,24.66
1215,24.1
1216,24.56
1217,24.74
1218,24.9
1219,23.75
1220,24.07
1221,24.46
1222,23.67
1223,23.47
1224,23.46
1225,23.35
1226,24.09
1227,24.27
1228,24.92
1229,24.85
1230,24.74
1231,24.95
1232,24.43
1233,24.49
1234,24.72
1235,25.06
1236,24.66
1237,24.38
1238,24.07
1239,23.53
1240,24.29
1241,23.45
1242,21.7
1243,21.96
1244,23.67
1245,23.81
1246,22.74
1247,21.5
1248,23.13
1249,22.62
1250,23.9
1251,24.6
1252,25.01
1253,24.71
1254,24.98
1255,24.03
1256,24.3
1257,24.67
1258,25.45
1259,25.35
1260,24.41
1261,24.72
1262,24.09
1263,23.07
1264,23.27
1265,23.25
1266,23.21
1267,23.02
1268,21.82
1269,22.17
1270,22.48
1271,20.78
1272,21.7
1273,21.15
1274,21.05
1275,21.23
1276,21.65
1277,22.61
1278,22.9
1279,23.69
1280,23.58
1281,23.3
1282,21.9
1283,22.43
1284,22.07
1285,21.49
1286,21.36
1287,21.0
1288,20.67
1289,21.62
1290,21.01
1291,20.62
1292,20.39
1293,21.0
1294,21.49
1295,21.78
1296,22.54
1297,22.54
1298,22.78
1299,23.76
1300,22.4
1301,21.05
1302,21.3
1303,20.42
1304,20.53
1305,21.0
1306,21.37
1307,19.84
1308,19.68
1309,19.53
1310,20.0
1311,18.97
1312,19.45
1313,19.61
1314,19.37
1315,18.75
1316,18.71
1317,18.71
1318,19.59
1319,19.57
1320,19.07
1321,18.57
1322,18.59
1323,17.56
1324,17.6
1325,17.63
1326,18.67
1327,19.19
1328,18.95
1329,18.14
1330,19.02
1331,18.3
1332,18.0
1333,16.99
1334,18.01
1335,17.99
1336,18.01
1337,17.74
1338,16.82
1339,16.0
1340,16.2
1341,16.14
1342,15.88
1343,14.98
1344,15.05
1345,15.54
1346,15.51
1347,15.51
1348,15.15
1349,15.54
1350,16.45
1351,15.73
1352,15.68
1353,17.02
1354,16.28
1355,16.99
1356,17.37
1357,17.28
1358,17.72
1359,18.55
1360,18.25
1361,18.55
1362,17.83
1363,17.83
1364,18.4
1365,18.92
1366,18.57
1367,17.81
1368,18.21
1369,17.92
1370,18.12
1371,18.07
1372,18.65
1373,18.44
1374,18.73
1375,19.09
1376,19.02
1377,19.05
1378,18.9
1379,19.25
1380,19.13
1381,19.5
1382,19.82
1383,19.06
1384,18.79
1385,18.93
1386,18.96
1387,18.59
1388,18.47
1389,19.09
1390,19.54
1391,19.98
1392,19.96
1393,20.79
1394,25.1
1395,23.96
1396,24.85
1397,24.36
1398,22.54
1399,21.14
1400,22.7
1401,22.03
1402,23.19
1403,23.84
1404,23.9
1405,23.25
1406,23.54
1407,23.34
1408,23.75
1409,23.99
1410,22.26
1411,22.49
1412,21.67
1413,20.19
1414,20.33
1415,20.44
1416,19.88
1417,20.47
1418,20.31
1419,20.04
1420,21.32
1421,21.66
1422,20.73
1423,20.94
1424,20.66
1425,20.89
1426,19.95
1427,19.78
1428,21.47
1429,22.76
1430,23.2
1431,23.23
1432,23.5
1433,23.56
1434,23.53
1435,23.55
1436,24.1
1437,23.18
1438,23.29
1439,22.85
1440,23.0
1441,23.98
1442,24.57
1443,24.96
1444,25.75
1445,24.96
1446,26.59
1447,25.93
1448,25.49
1449,26.2
1450,24.69
1451,24.72
1452,24.03
1453,24.25
1454,25.04
1455,25.72
1456,22.79
1457,20.4
1458,21.44
1459,22.42
1460,21.8
1461,22.04
1462,20.54
1463,20.59
1464,20.87
1465,19.5
1466,20.24
1467,21.59
1468,22.07
1469,22.53
1470,22.17
1471,22.87
1472,21.78
1473,23.0
1474,21.62
1475,20.12
1476,19.69
1477,20.56
1478,19.62
1479,19.69
1480,20.44
1481,19.56
1482,18.62
1483,20.25
1484,20.81
1485,21.25
1486,21.5
1487,20.37
1488,19.25
1489,18.75
1490,18.25
1491,19.37
1492,19.5
1493,18.81
1494,18.81
1495,18.87
1496,18.31
1497,19.0
1498,20.06
1499,19.5
1500,19.12
1501,19.69
1502,19.12
1503,20.75
1504,20.75
1505,21.12
1506,20.19
1507,20.62
1508,21.12
1509,21.62
1510,21.75
1511,21.69
1512,19.56
1513,19.94
1514,20.5
1515,20.5
1516,19.25
1517,19.5
1518,18.69
1519,16.81
1520,17.12
1521,17.19
1522,18.0
1523,16.56
1524,17.19
1525,16.56
1526,16.37
1527,17.06
1528,16.37
1529,14.88
1530,14.88
1531,14.81
1532,14.81
1533,14.69
1534,15.0
1535,14.06
1536,14.38
1537,14.0
1538,14.25
1539,14.06
1540,14.44
1541,15.0
1542,15.38
1543,15.19
1544,15.06
1545,14.31
1546,14.31
1547,17.0
